Url,Brand,Family,Reference,Name,Movement,Produced,Limited,Case_Material,Glass,Case_Back,Case_Shape,Case_Diameter,Lug_Width,Water_Resistance,Dial_Color,Dial_Finish,Dial_Indexes,Dial_Hands,Price
https://watchbase.com/patek-philippe/twenty-4/4909-107g,Patek Philippe,Twenty~4,4909/107G,Twenty~4 4909/107 White Gold / Diamonds,Patek Philippe caliber  16-250,2012,"Yes, 1 unit",White Gold,Sapphire,Open,Rectangular,,,30.00 m,Paved,,Roman Numerals,Feuille,N/A
https://watchbase.com/patek-philippe/twenty-4/7300-1200r-010-t,Patek Philippe,Twenty~4,7300/1200R-010 T,Twenty-4 Automatic Tiffany Rose Gold / Diamond / Shantung Silk,Patek Philippe caliber 324 S C,2018,No,Rose Gold,Sapphire,Open,Round,36.00 mm,,30.00 m,Silver,Guilloche,Arabic Numerals,Baton,N/A
https://watchbase.com/patek-philippe/twenty-4/4909-101r,Patek Philippe,Twenty~4,4909/101R,Twenty~4 4909/101 Rose Gold / Diamonds,Patek Philippe caliber  16-250,2011,"Yes, 1 unit",Rose Gold,Sapphire,Open,Rectangular,,,30.00 m,Paved,,Roman Numerals,Feuille,N/A
https://watchbase.com/patek-philippe/twenty-4/4909-100r,Patek Philippe,Twenty~4,4909/100R,Twenty~4 4909/100 Rose Gold / Diamonds,Patek Philippe caliber  16-250,2012,"Yes, 1 unit",Rose Gold,Sapphire,Open,Rectangular,,,,Paved,,Roman Numerals,Feuille,N/A
https://watchbase.com/patek-philippe/twenty-4/4908-101r-001,Patek Philippe,Twenty~4,4908/101R-001,Twenty~4 4908/101 Rose Gold,Patek Philippe caliber E15,,No,Rose Gold,Sapphire,Closed,Rectangular,24.00 mm,,30.00 m,Paved,,,Feuille,505880
https://watchbase.com/patek-philippe/twenty-4/4908-200g-011,Patek Philippe,Twenty~4,4908/200G-011,Twenty~4 4908/200 White Gold Timeless White,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,24.00 mm,,30.00 m,White,,Mixed,Feuille,39060
https://watchbase.com/patek-philippe/twenty-4/4910-11r-011,Patek Philippe,Twenty~4,4910/11R-011,Twenty~4 4910 Rose Gold / White,Patek Philippe caliber E15,2020,No,Rose Gold,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,White,,Mixed,Feuille,39500
https://watchbase.com/patek-philippe/twenty-4/4908-11r-011,Patek Philippe,Twenty~4,4908/11R-011,Twenty~4 4908/11 Rose Gold Timeless White,Patek Philippe caliber E15,,No,Rose Gold,Sapphire,Closed,Rectangular,24.00 mm,,30.00 m,White,,Mixed,Feuille,37000
https://watchbase.com/patek-philippe/twenty-4/4920g-001,Patek Philippe,Twenty~4,4920G-001,Twenty~4 4920 White Gold Eternal Gray,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,25.00 mm,,30.00 m,Grey,,Mixed,Feuille,21200
https://watchbase.com/patek-philippe/twenty-4/4909-50r-001,Patek Philippe,Twenty~4,4909/50R-001,Twenty~4 4909/50 Rose Gold,Patek Philippe caliber  16-250,,No,Rose Gold,Sapphire,Closed,Rectangular,22.00 mm,,30.00 m,Paved,,Roman Numerals,Feuille,120590
https://watchbase.com/patek-philippe/twenty-4/4910-10a-001,Patek Philippe,Twenty~4,4910/10A-001,Twenty~4 4910 Stainless Steel / Black,Patek Philippe caliber E15,2020,No,Stainless Steel,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,Black,,Mixed,Feuille,11500
https://watchbase.com/patek-philippe/twenty-4/4911g-001,Patek Philippe,Twenty~4,4911G-001,Twenty~4 4911 White Gold Baguette,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,25.00 mm,,30.00 m,Paved,,Roman Numerals,Feuille,148770
https://watchbase.com/patek-philippe/twenty-4/4910-52g-001,Patek Philippe,Twenty~4,4910/52G-001,Twenty~4 4910 White Gold Gridless Diamond,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,25.00 mm,,30.00 m,Paved,,Roman Numerals,Feuille,221970
https://watchbase.com/patek-philippe/twenty-4/4910-1201r-001,Patek Philippe,Twenty~4,4910/1201R-001,Twenty~4 Manchette Rose Gold / Brown,Patek Philippe caliber E15,2020 - 2023,No,Rose Gold,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,Brown,Sunburst,Mixed,Baton,N/A
https://watchbase.com/patek-philippe/twenty-4/4910g-001,Patek Philippe,Twenty~4,4910G-001,Twenty~4 4910 White Gold,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,25.00 mm,,30.00 m,Paved,,Roman Numerals,Feuille,52780
https://watchbase.com/patek-philippe/twenty-4/4908-200g-001,Patek Philippe,Twenty~4,4908/200G-001,Twenty~4 4908/200 White Gold Eternal Gray,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,24.00 mm,,30.00 m,Grey,,Mixed,Feuille,39060
https://watchbase.com/patek-philippe/twenty-4/4910-10a-012,Patek Philippe,Twenty~4,4910/10A-012,Twenty~4 4910 Stainless Steel / Blue,Patek Philippe caliber E15,2020,No,Stainless Steel,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,Blue,Sunburst,Mixed,Feuille,11500
https://watchbase.com/patek-philippe/twenty-4/4910-1200a-010,Patek Philippe,Twenty~4,4910/1200A-010,Twenty~4 Manchette Stainless Steel / Grey,Patek Philippe caliber E15,2020,No,Stainless Steel,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,Grey,Sunburst,Mixed,Baton,N/A
https://watchbase.com/patek-philippe/twenty-4/4910-11r-010,Patek Philippe,Twenty~4,4910/11R-010,Twenty~4 4910 Rose Gold / Brown,Patek Philippe caliber E15,2020,No,Rose Gold,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,Brown,,Mixed,Feuille,39500
https://watchbase.com/patek-philippe/twenty-4/4920g-010,Patek Philippe,Twenty~4,4920G-010,Twenty~4 4920 White Gold Timeless White,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,25.00 mm,,30.00 m,,,Mixed,Feuille,18730
https://watchbase.com/patek-philippe/twenty-4/4908-101g-001,Patek Philippe,Twenty~4,4908/101G-001,Twenty~4 4908/101 White Gold,Patek Philippe caliber E15,,No,White Gold,Sapphire,Closed,Rectangular,24.00 mm,,30.00 m,Paved,,Roman Numerals,Feuille,505880
https://watchbase.com/patek-philippe/twenty-4/4909-114g,Patek Philippe,Twenty~4,4909/114G,Twenty~4 4909/114 White Gold / Diamonds,Patek Philippe caliber  16-250,2015,"Yes, 1 unit",White Gold,Sapphire,Open,Rectangular,,,30.00 m,Paved,,Roman Numerals,Feuille,N/A
https://watchbase.com/patek-philippe/twenty-4/4910-1201r-010,Patek Philippe,Twenty~4,4910/1201R-010,Twenty~4 Manchette Rose Gold / Purple,Patek Philippe caliber E15,2024,No,Rose Gold,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,Purple,Sunburst,Mixed,Baton,N/A
https://watchbase.com/patek-philippe/twenty-4/4920r-001,Patek Philippe,Twenty~4,4920R-001,Twenty~4 4920 Rose Gold / Brown,Patek Philippe caliber E15,2020,No,Rose Gold,Sapphire,Closed,Rectangular,25.10 mm,,30.00 m,Brown,,Mixed,Feuille,21200
https://watchbase.com/patek-philippe/twenty-4/4909-102r,Patek Philippe,Twenty~4,4909/102R,Twenty~4 4909/102 Rose Gold / Sapphire,Patek Philippe caliber  16-250,2012,"Yes, 1 unit",Rose Gold,Sapphire,Open,Rectangular,,,30.00 m,See-through,,Roman Numerals,Feuille,N/A
https://watchbase.com/patek-philippe/twenty-4/4909-50g-001,Patek Philippe,Twenty~4,4909/50G-001,Twenty~4 4909/50 White Gold,Patek Philippe caliber  16-250,,No,White Gold,Sapphire,Closed,Rectangular,22.00 mm,,30.00 m,Paved,,Roman Numerals,Feuille,124750
